# List of foods in Stigler's diet problem
# Order  Commodity               
     1   WheatFlour(Enriched)                    
     2   Macaroni                                
     3   WheatCereal(Enriched)                   
     4   CornFlakes                              
     5   CornMeal                                
     6   HominyGrits                             
     7   Rice                                    
     8   RolledOats                              
     9   WhiteBread(Enriched)                    
    10   WholeWheatBread                         
    11   RyeBread                                
    12   PoundCake                               
    13   SodaCrackers                            
    14   Milk                                    
    15   EvaporatedMilk(can)                     
    16   Butter                                  
    17   Oleomargarine                           
    18   Eggs                                    
    19   Cheese(Cheddar)                         
    20   Cream                                   
    21   PeanutButter                            
    22   Mayonnaise                              
    23   Crisco                                  
    24   Lard                                    
    25   SirloinSteak                            
    26   RoundSteak                              
    27   RibRoast                                
    28   ChuckRoast                              
    29   Plate                                   
    30   Liver(Beef)                             
    31   LegofLamb                               
    32   LambChops(Rib)                          
    33   PorkChops                               
    34   PorkLoinRoast                           
    35   Bacon                                   
    36   HamSmoked                               
    37   SaltPork                                
    38   RoastingChicken                         
    39   VealCutlets                             
    40   SalmonPink(can)                         
    41   Apples                                  
    42   Bananas                                 
    43   Lemons                                  
    44   Oranges                                 
    45   GreenBeans                              
    46   Cabbage                                 
    47   Carrots                                 
    48   Celery                                  
    49   Lettuce                                 
    50   Onions                                  
    51   Potatoes                                
    52   Spinach                                 
    53   SweetPotatoes                           
    54   Peaches(can)                            
    55   Pears(can)                              
    56   Pineapple(can)                          
    57   Asparagus(can)                          
    58   GreenBeans(can)                         
    59   PorkandBeans(can)                       
    60   Corn(can)                               
    61   Peas(can)                               
    62   Tomatoes(can)                           
    63   TomatoSoup(can)                         
    64   PeachesDried                            
    65   PrunesDried                             
    66   RaisinsDried                            
    67   PeasDried                               
    68   LimaBeansDried                          
    69   NavyBeansDried                          
    70   Coffee                                  
    71   Tea                                     
    72   Cocoa                                   
    73   Chocolate                               
    74   Sugar                                   
    75   CornSyrup                               
    76   Molasses                                
    77   StrawberryPreserves                     
